type,flag,externInfo,parameters,version,applicant
0x003e0000,FLAG_TNE_LOG| FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0001,FLAG_TNE_LOG| FLAG_TNE_PERF_BUFFER | FLAG_TNE_SYS_TRACE | FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_SYS_MEM| FLAG_TNE_WINDOW| FLAG_TNE_CPU_INFO| FLAG_TNE_BINDER,,,,
0x003e0002,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0003,FLAG_TNE_LOG| FLAG_TNE_COM_BUFFER| FLAG_TNE_BASIC,,,,
0x003e0004,FLAG_TNE_LOG| FLAG_TNE_POWER_BUFFER| FLAG_TNE_BASIC| FLAG_TNE_POWER| FLAG_TNE_THERMAL| FLAG_TNE_PACKAGE| FLAG_TNE_BUGREPORT,,,,
0x003e0005,FLAG_TNE_LOG| FLAG_TNE_MEDIA| FLAG_TNE_BASIC,,,,
0x003e0006,FLAG_TNE_LOG| FLAG_TNE_CAMERA_BUFFER| FLAG_TNE_CAMERA | FLAG_TNE_ANR_TRACE| FLAG_TNE_PACKAGE| FLAG_TNE_BASIC| FLAG_TNE_DB_INFO| FLAG_TNE_SYS_MEM,,,,
0x003e0007,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x003e0008,FLAG_TNE_LOG| FLAG_TNE_CAMERA| FLAG_TNE_BUGREPORT| FLAG_TNE_SYS_MEM| FLAG_TNE_BASIC| FLAG_TNE_POWER | FLAG_TNE_PACKAGE| FLAG_TNE_DB_INFO| FLAG_TNE_FD| FLAG_TNE_WINDOW| FLAG_TNE_BINDER| FLAG_TNE_CPU_INFO | FLAG_TNE_PERF_BUFFER| FLAG_TNE_POWER_BUFFER| FLAG_TNE_PERF_BUFFER| FLAG_TNE_COM_BUFFER| FLAG_TNE_CAMERA_BUFFER,,,,
0x007a0000,FLAG_TNE_BINDER |FLAG_TNE_BASIC |FLAG_TNE_SYS_MEM | FLAG_TNE_PROC_BASIC |FLAG_TNE_PROC_STACK,,,,
0x007a0001,默认：FLAG_TNE_WINDOW lowmem：FLAG_TNE_HPROF,,,,
0x007a0002,,,,,
0x007a0003,,,,,
0x007a0004,,,,,
0x007a0005,,,,,
0x007a0006,,,,,
0x007a0007,,,,,
0x007a0008,,,,,
0x007a0009,,,,,
0x007a000a,,,,,
0x007a000b,,,,,
0x007a000c,FLAG_TNE_BINDER | FLAG_TNE_LOG | FLAG_TNE_PROC_STACK,,,,
0x007a000d,FLAG_TNE_BINDER | FLAG_TNE_LOG | FLAG_TNE_PROC_STACK,,,,
0x007a000e,FLAG_TNE_PROC_STACK | FLAG_TNE_LOG | FLAG_TNE_BINDER,,,,
0x007a000f,,,,,
0x007a0010,,,,,
0x007a0011,FLAG_TNE_HPROF,,,,
0x007a0012,FLAG_TNE_LOG | FLAG_TNE_BASIC,,,,
0x007a0013,FLAG_TNE_LOG,,,,
0x007a0014,,,,,
0x007a0015,,,,,
0x007a0016,,,,,
0x007a0017,,,,,
0x007a0018,,,,,
0x007a0019,,,,,
0x007a001a,,,,,
0x007a001b,,,,,
0x007a0020,,,,,
0x007a0021,,,,,
0x007a0022,,,,,
0x007a0023,,,,,
0x007a0024,,,,,
0x007a0025,,,,,
0x007a0026,,,,,
0x007a0027,,,,,
0x007a0028,,,,,
0x007a0029,,,,,
0x007a0030,,,,,
0x007a002a,FLAG_TNE_DISPLAY,,,,
0x007a002b,,,,,
0x007a0031,,,,,
0x007a0032,,,,,
0x007a0033,,,,,
0x007a0034,,,,,
0x007a0035,,,,,
0x007a0036,,,,,
0x007a0039,,,,,
0x007a0040,,,,,
0x000a0007,,,,,
0x007a0041,,,,,
0x007a0042,,,,,
0x007a0043,,,,,
0x007a0044,,,,,
0x007a0045,,,,,
0x007a0046,,,,,
0x007a0047,,,,,
0x007a0055,,,,,
0x007a0060,,,,,
0xffff0000,FLAG_TNE_BINDER | FLAG_TNE_WINDOW | FLAG_TNE_PROC_STACK | FLAG_TNE_BASIC |FLAG_TNE_ANR_TRACE | FLAG_TNE_LOG | FLAG_TNE_PROC_MEM |FLAG_TNE_SYS_MEM | FLAG_TNE_PERF_BUFFER | FLAG_TNE_POWER_BUFFER | FLAG_TNE_STAB_BUFFER | FLAG_TNE_COM_BUFFER | FLAG_TNE_CAMERA_BUFFER,,,,
0xffff1001,FLAG_TNE_PERF_BUFFER,,,,
0xffff1002,FLAG_TNE_POWER_BUFFER,,,,
0xffff1003,FLAG_TNE_FD | FLAG_TNE_LOG,,,,
0xffff1004,FLAG_TNE_COM_BUFFER,,,,
0xffff1005,FLAG_TNE_COM_BUFFER,,,,
0xffff1006,FLAG_TNE_CAMERA_BUFFER,,,,
0x00a10000,,,,,
0x00a10003,,,,,
0x00a10002,FLAG_TNE_LOG |FLAG_TNE_HPROF |FLAG_TNE_PROC_MEM,,,,
0x00a10004,FLAG_TNE_LOG |FLAG_TNE_HPROF |FLAG_TNE_PROC_MEM,,,,
0x00a10006,,,,,
0x00a10007,,,,,
0x00a10008,FLAG_TNE_LOG |FLAG_TNE_FD |FLAG_TNE_HPROF |FLAG_TNE_STAB_BUFFER,,,,
0x00160001,FLAG_TNE_BUGREPORT,,,,
0x00160002,FLAG_TNE_LOG| FLAG_TNE_PACKAGE,,,,
0x00160003,FLAG_TNE_BINDER | FLAG_TNE_WINDOW | FLAG_TNE_SYS_MEM |FLAG_TNE_LOG | FLAG_TNE_SYS_TRACE | FLAG_TNE_ANR_TRACE,,,,
0x00380001,FLAG_TNE_LOG,,,,
0x005f0001,FLAG_TNE_POWER | FLAG_TNE_LOG | FLAG_TNE_POWER_BUFFER | FLAG_TNE_BUGREPORT,,,,
0x00500001,FLAG_TNE_PERF_BUFFER,,,,
0x00500002,,,,,
0x00990001,FLAG_TNE_BINDER | FLAG_TNE_LOG | FLAG_TNE_PROC_STACK,,,,
0x00990002,FLAG_TNE_LOG | FLAG_TNE_PROC_STACK,,,,
0xffffff00,FLAG_TNE_WINDOW |FLAG_TNE_PROC_MEM |FLAG_TNE_PROC_STACK|FLAG_TNE_SYS_MEM |FLAG_TNE_HPROF|FLAG_TNE_PACKAGE |FLAG_TNE_DB_INFO,,,,
0xffffff01,FLAG_TNE_WINDOW|FLAG_TNE_PROC_MEM |FLAG_TNE_SYS_MEM |FLAG_TNE_ANR_TRACE |FLAG_TNE_SYS_TRACE |FLAG_TNE_PACKAGE |FLAG_TNE_CAMERA |FLAG_TNE_MEDIA |FLAG_TNE_NET |FLAG_TNE_COREDUMP |FLAG_TNE_DB_INFO |FLAG_TNE_BUGREPORT |FLAG_TNE_POWER,,,,
0xffffff02,FLAG_TNE_USER_LOG_MAIN_SYS|FLAG_TNE_USER_LOG_EVENT|FLAG_TNE_USER_PROPERTY,,,,
0xffffff03,FLAG_TNE_WINDOW |FLAG_TNE_PROC_MEM |FLAG_TNE_SYS_MEM |FLAG_TNE_ANR_TRACE |FLAG_TNE_LOG |FLAG_TNE_FD |FLAG_TNE_PACKAGE |FLAG_TNE_CAMERA |FLAG_TNE_MEDIA |FLAG_TNE_NET |FLAG_TNE_COREDUMP |FLAG_TNE_DB_INFO |FLAG_TNE_BUGREPORT,,,,
0xffffff04,FLAG_TNE_BASIC | FLAG_TNE_CPU_INFO | FLAG_TNE_DB_INFO,,,,
0xffffff06,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_EVENT |FLAG_TNE_USER_LOG_CRASH |FLAG_TNE_USER_LOG_KERNEL |FLAG_TNE_USER_RAM_CONSOLE |FLAG_TNE_USER_PROPERTY ,,,,
0xffffff07,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_EVENT| FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff08,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff09,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff0a,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff0b,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL,,,,
0xffffff0c,,/data/TNE/temp_db/目录下所有db文件,,,
0xffffff0d,FLAG_TNE_BASIC |FLAG_TNE_CPU_INFO | FLAG_TNE_DB_INFO | FLAG_TNE_THERMAL,,,,
0xffffff0e,FLAG_TNE_USER_LOG_MAIN_SYS,,,,
0xffffff0f,,/data/TNE/temp_db/目录下所有db文件,,,
0xffffff10,FLAG_TNE_USER_LOG_MAIN_SYS,,,,
0xffffff12,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_PROPERTY | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_LOG_RADIO | FLAG_TNE_USER_WINDOW,,,,
0xffffff13,FLAG_TNE_USER_LOG_MAIN_SYS | FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_ANR_TRACE | FLAG_TNE_USER_PROPERTY|FLAG_TNE_USER_BINDER,,,,
0xffffff14,FLAG_TNE_USER_LOG_MAIN_SYS |FLAG_TNE_USER_LOG_EVENT | FLAG_TNE_USER_LOG_CRASH | FLAG_TNE_USER_LOG_KERNEL | FLAG_TNE_USER_PROPERTY,,,,
0xffffff15,,,,,
0xffffff16,,,,,
0xffffffff,,,,,
0x000a0001,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0002,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0003,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0004,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0005,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0006,FLAG_TNE_LOG | FLAG_TNE_MODEM_BUFFER,,,,
0x000a0007,FLAG_TNE_LOG,,,,
0x000a0008,,,,,
